Comp_Name	Box_Name	Subtype_NO	BoardIn_NO	Scan_NO	CAD_X	CAD_Y	CAD_Width	CAD_Height	Board_Side	Solder_ThicknessN1_Layer1	Solder_Area_Layer1	Absolute_Height_Layer1	Solder_ThicknessN1_Layer2	Solder_Area_Layer2	Absolute_Height_Layer2	Solder_ThicknessN1_Layer3	Solder_Area_Layer3	Solder_PTH_Filling_PIP_Layer3	Absolute_Height_Layer3	Short_Left1_Layer4	Short_Top1_Layer4	Short_Right1_Layer4	Short_Bottom1_Layer4	Absolute_Height_Layer4	Location_X(pixel)	Location_Y(pixel)	Initial_H	Retry_H	Laser_Height	
C101_1	2	0	1	11	114.650	234.550	1.500	1.500	Bottom	15.8	0.5030	-0.305074	33.9	1.0395	-1.255074	41.1	0.5930	100.0000	-1.730074	0.0	0.0	0.0	0.0	-2.205074	9603	4267	-2.205074	-2.205074	-2.205074	
C101_1	2	0	1	12	114.650	234.550	1.500	1.500	Bottom	16.0	0.5162	-0.305028	33.8	1.0350	-1.255028	41.2	0.5930	100.0000	-1.730028	0.0	0.0	0.0	0.0	-2.205028	9603	4267	-2.205028	-2.205028	-2.205028	
C101_1	2	0	1	13	114.650	234.550	1.500	1.500	Bottom	16.0	0.5769	-0.306993	34.2	1.0395	-1.256993	41.2	0.5930	100.0000	-1.731993	0.0	0.0	0.0	0.0	-2.206993	9603	4267	-2.206993	-2.206993	-2.206993	
C101_1	2	0	1	14	114.650	234.550	1.500	1.500	Bottom	16.0	0.4797	-0.306400	34.3	1.0395	-1.256400	41.3	0.5930	100.0000	-1.731400	0.0	0.0	0.0	0.0	-2.206400	9603	4267	-2.206400	-2.206400	-2.206400	
C101_1	2	0	1	15	114.650	234.550	1.500	1.500	Bottom	15.9	0.5158	-0.306751	34.4	1.0383	-1.256751	41.2	0.5930	100.0000	-1.731751	0.0	0.0	0.0	0.0	-2.206751	9602	4267	-2.206751	-2.206751	-2.206751	
C101_1	2	0	1	16	114.650	234.550	1.500	1.500	Bottom	16.1	0.5801	-0.306282	34.4	1.0395	-1.256282	41.3	0.5930	100.0000	-1.731282	0.0	0.0	0.0	0.0	-2.206282	9602	4267	-2.206282	-2.206282	-2.206282	
C101_1	2	0	1	17	114.650	234.550	1.500	1.500	Bottom	16.1	0.5709	-0.306080	34.2	1.0395	-1.256080	41.3	0.5930	100.0000	-1.731080	0.0	0.0	0.0	0.0	-2.206080	9602	4267	-2.206080	-2.206080	-2.206080	
C101_1	2	0	1	18	114.650	234.550	1.500	1.500	Bottom	16.1	0.5227	-0.307100	34.2	1.0395	-1.257100	41.2	0.5930	100.0000	-1.732100	0.0	0.0	0.0	0.0	-2.207100	9602	4267	-2.207099	-2.207100	-2.207099	
C101_1	2	0	1	19	114.650	234.550	1.500	1.500	Bottom	15.8	0.5805	-0.307102	34.3	1.0367	-1.257102	41.1	0.5930	100.0000	-1.732102	0.0	0.0	0.0	0.0	-2.207102	9602	4267	-2.207102	-2.207102	-2.207102	
C101_1	2	0	1	20	114.650	234.550	1.500	1.500	Bottom	15.9	0.5781	-0.305902	34.3	1.0395	-1.255902	41.1	0.5930	100.0000	-1.730902	0.0	0.0	0.0	0.0	-2.205902	9602	4267	-2.205902	-2.205902	-2.205902	
C101_1	2	0	1	21	114.650	234.550	1.500	1.500	Bottom	16.0	0.4837	-0.307330	34.3	1.0396	-1.257330	41.4	0.5930	100.0000	-1.732330	0.0	0.0	0.0	0.0	-2.207330	9602	4267	-2.207330	-2.207330	-2.207330	
C101_1	2	0	1	22	114.650	234.550	1.500	1.500	Bottom	16.0	0.4937	-0.307298	34.2	1.0391	-1.257298	41.0	0.5930	100.0000	-1.732298	0.0	0.0	0.0	0.0	-2.207298	9602	4267	-2.207298	-2.207298	-2.207298	
C101_1	2	0	1	23	114.650	234.550	1.500	1.500	Bottom	16.2	0.5681	-0.308410	34.7	1.0396	-1.258410	41.6	0.5930	100.0000	-1.733410	0.0	0.0	0.0	0.0	-2.208410	9602	4266	-2.208410	-2.208410	-2.208410	
C101_1	2	0	1	24	114.650	234.550	1.500	1.500	Bottom	16.4	0.4700	-0.307140	34.5	1.0371	-1.257140	41.4	0.5930	100.0000	-1.732140	0.0	0.0	0.0	0.0	-2.207140	9602	4266	-2.207140	-2.207140	-2.207140	
C101_1	2	0	1	25	114.650	234.550	1.500	1.500	Bottom	15.9	0.5395	-0.308230	34.5	1.0396	-1.258230	41.4	0.5930	100.0000	-1.733230	0.0	0.0	0.0	0.0	-2.208230	9602	4267	-2.208230	-2.208230	-2.208230	
C101_1	2	0	1	26	114.650	234.550	1.500	1.500	Bottom	16.3	0.5367	-0.307468	34.6	1.0396	-1.257468	41.5	0.5930	100.0000	-1.732468	0.0	0.0	0.0	0.0	-2.207468	9602	4267	-2.207468	-2.207468	-2.207468	
C101_1	2	0	1	27	114.650	234.550	1.500	1.500	Bottom	16.2	0.5576	-0.307948	34.7	1.0396	-1.257948	41.5	0.5930	100.0000	-1.732947	0.0	0.0	0.0	0.0	-2.207947	9602	4267	-2.207948	-2.207947	-2.207948	
C101_1	2	0	1	28	114.650	234.550	1.500	1.500	Bottom	16.1	0.5134	-0.308004	34.6	1.0396	-1.258004	41.5	0.5930	100.0000	-1.733004	0.0	0.0	0.0	0.0	-2.208004	9602	4267	-2.208004	-2.208004	-2.208004	
C101_1	2	0	1	29	114.650	234.550	1.500	1.500	Bottom	16.3	0.5283	-0.309293	34.6	1.0396	-1.259293	41.7	0.5930	100.0000	-1.734293	0.0	0.0	0.0	0.0	-2.209293	9602	4267	-2.209294	-2.209293	-2.209294	
C101_1	2	0	1	30	114.650	234.550	1.500	1.500	Bottom	16.2	0.5460	-0.308733	34.7	1.0396	-1.258733	41.4	0.5930	100.0000	-1.733733	0.0	0.0	0.0	0.0	-2.208733	9602	4267	-2.208733	-2.208733	-2.208733	
C101_2	2	0	1	1	0.000	0.000	0.000	0.000	Bottom	15.7	0.5800	-0.247383	35.6	1.0386	-1.197383	36.4	0.5925	100.0000	-1.672383	0.0	0.0	0.0	0.0	-2.147382	11792	7279	-2.147383	-2.147382	-2.147383	
C101_2	2	0	1	2	0.000	0.000	0.000	0.000	Bottom	16.1	0.5800	-0.244196	35.4	1.0386	-1.194196	36.1	0.5925	100.0000	-1.669196	0.0	0.0	0.0	0.0	-2.144196	11792	7279	-2.144196	-2.144196	-2.144196	
C101_2	2	0	1	3	0.000	0.000	0.000	0.000	Bottom	16.0	0.5784	-0.244602	35.4	1.0386	-1.194602	36.2	0.5925	100.0000	-1.669602	0.0	0.0	0.0	0.0	-2.144602	11792	7279	-2.144602	-2.144602	-2.144602	
C101_2	2	0	1	4	0.000	0.000	0.000	0.000	Bottom	15.8	0.5800	-0.244846	35.4	1.0386	-1.194846	36.2	0.5925	100.0000	-1.669846	0.0	0.0	0.0	0.0	-2.144846	11792	7279	-2.144846	-2.144846	-2.144846	
